state_abv,state,city,airport_code,airport
AL,Alabama,Birmingham,BHM,Birmingham–Shuttlesworth International Airport
AL,Alabama,Dothan,DHN,Dothan Regional Airport
AL,Alabama,Huntsville,HSV,Huntsville International Airport (Carl T. Jones Field)
AL,Alabama,Mobile,MOB,Mobile Regional Airport
AL,Alabama,Montgomery,MGM,Montgomery Regional Airport (Dannelly Field)
AK,Alaska,Anchorage,LHD,Lake Hood Seaplane Base (also Lake Hood Airstrip)
AK,Alaska,Anchorage,MRI,Merrill Field
AK,Alaska,Anchorage,ANC,Ted Stevens Anchorage International Airport
AK,Alaska,Aniak,ANI,Aniak Airport
AK,Alaska,Bethel,BET,Bethel Airport
AK,Alaska,Cordova,CDV,Merle K. (Mudhole) Smith Airport
AK,Alaska,Deadhorse,SCC,Deadhorse Airport (Prudhoe Bay Airport)
AK,Alaska,Dillingham,DLG,Dillingham Airport
AK,Alaska,Fairbanks,FAI,Fairbanks International Airport
AK,Alaska,Gustavus,GST,Gustavus Airport
AK,Alaska,Homer,HOM,Homer Airport
AK,Alaska,Juneau,JNU,Juneau International Airport
AK,Alaska,Kenai,ENA,Kenai Municipal Airport
AK,Alaska,Ketchikan,KTN,Ketchikan International Airport
AK,Alaska,King Salmon,AKN,King Salmon Airport
AK,Alaska,Klawock,AKW,Klawock Airport
AK,Alaska,Kodiak,ADQ,Kodiak Airport
AK,Alaska,Kotzebue,OTZ,Ralph Wien Memorial Airport
AK,Alaska,Nome,OME,Nome Airport
AK,Alaska,Petersburg,PSG,Petersburg James A. Johnson Airport
AK,Alaska,St. Mary's,KSM,St. Mary's Airport
AK,Alaska,Sitka,SIT,Sitka Rocky Gutierrez Airport
AK,Alaska,Unalakleet,UNK,Unalakleet Airport
AK,Alaska,Unalaska,DUT,Unalaska Airport
AK,Alaska,Utqiaġvik (Barrow),BRW,Wiley Post–Will Rogers Memorial Airport
AK,Alaska,Valdez,VDZ,Valdez Airport (Pioneer Field)
AK,Alaska,Wrangell,WRG,Wrangell Airport
AK,Alaska,Yakutat,YAK,Yakutat Airport
AZ,Arizona,Bullhead City,IFP,Laughlin/Bullhead International Airport
AZ,Arizona,Flagstaff,FLG,Flagstaff Pulliam Airport
AZ,Arizona,Grand Canyon,GCN,Grand Canyon National Park Airport
AZ,Arizona,Mesa,IWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB)
AZ,Arizona,Page,PGA,Page Municipal Airport
AZ,Arizona,Phoenix,PHX,Phoenix Sky Harbor International Airport
AZ,Arizona,Prescott,PRC,Prescott Municipal Airport (Ernest A. Love Field)
AZ,Arizona,Tucson,TUS,Tucson International Airport
AZ,Arizona,Yuma,NYL,Yuma International Airport / MCAS Yuma
AR,Arkansas,Fayetteville,XNA,Northwest Arkansas National Airport
AR,Arkansas,Fort Smith,FSM,Fort Smith Regional Airport
AR,Arkansas,Little Rock,LIT,Clinton National Airport (Adams Field) (was Little Rock National)
AR,Arkansas,Texarkana,TXK,Texarkana Regional Airport (Webb Field)
CA,California,Arcata/Eureka,ACV,Arcata Airport
CA,California,Bakersfield,BFL,Meadows Field
CA,California,Burbank,BUR,Hollywood Burbank Airport (was Bob Hope Airport)
CA,California,Concord,CCR,Buchanan Field Airport
CA,California,Fresno,FAT,Fresno Yosemite International Airport
CA,California,Long Beach,LGB,Long Beach Airport (Daugherty Field)
CA,California,Los Angeles,LAX,Los Angeles International Airport
CA,California,Mammoth Lakes,MMH,Mammoth Yosemite Airport
CA,California,Monterey,MRY,Monterey Regional Airport (was Monterey Peninsula Airport)
CA,California,Oakland,OAK,Oakland International Airport
CA,California,Ontario,ONT,Ontario International Airport
CA,California,Orange County,SNA,John Wayne Airport (was Orange County Airport)
CA,California,Palm Springs,PSP,Palm Springs International Airport
CA,California,Redding,RDD,Redding Municipal Airport
CA,California,Sacramento,SMF,Sacramento International Airport
CA,California,San Diego,SAN,San Diego International Airport (Lindbergh Field)
CA,California,San Francisco,SFO,San Francisco International Airport
CA,California,San Jose,SJC,Norman Y. Mineta San José International Airport
CA,California,San Luis Obispo,SBP,San Luis Obispo County Regional Airport (McChesney Field)
CA,California,Santa Barbara,SBA,Santa Barbara Municipal Airport (Santa Barbara Airport)
CA,California,Santa Maria,SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field)
CA,California,Santa Rosa,STS,Charles M. Schulz–Sonoma County Airport
CA,California,Stockton,SCK,Stockton Metropolitan Airport
CO,Colorado,Aspen,ASE,Aspen/Pitkin County Airport (Sardy Field)
CO,Colorado,Colorado Springs,COS,City of Colorado Springs Municipal Airport
CO,Colorado,Denver,DEN,Denver International Airport
CO,Colorado,Durango,DRO,Durango–La Plata County Airport
CO,Colorado,Eagle/Vail,EGE,Eagle County Regional Airport
CO,Colorado,Grand Junction,GJT,Grand Junction Regional Airport (Walker Field)
CO,Colorado,Gunnison,GUC,Gunnison–Crested Butte Regional Airport
CO,Colorado,Hayden,HDN,Yampa Valley Airport (Yampa Valley Regional)
CO,Colorado,Montrose,MTJ,Montrose Regional Airport
CO,Colorado,Pueblo,PUB,Pueblo Memorial Airport
CT,Connecticut,Hartford,BDL,Bradley International Airport
